"filename", "language", "JavaScript", "vue", "comment", "blank", "total"
"d:\2024202501\Introduction\NewWebApp\src\api\user.js", "JavaScript", 111, 0, 20, 33, 164
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\AdminHeader.vue", "vue", 0, 3, 0, -1, 2
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MainSider.vue", "vue", 0, 6, 0, 2, 8
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingFooter.vue", "vue", 0, 126, 3, 9, 138
"d:\2024202501\Introduction\NewWebApp\src\components\layouts\MeetingSider.vue", "vue", 0, -16, 7, 1, -8
"d:\2024202501\Introduction\NewWebApp\src\components\search\SearchFriend.vue", "vue", 0, 289, 3, 42, 334
"d:\2024202501\Introduction\NewWebApp\src\router\index.js", "JavaScript", 20, 0, 0, 0, 20
"d:\2024202501\Introduction\NewWebApp\src\utils\request.js", "JavaScript", 0, 0, 0, 2, 2
"d:\2024202501\Introduction\NewWebApp\src\views\admin\Admin.vue", "vue", 0, 37, 0, 0, 37
"d:\2024202501\Introduction\NewWebApp\src\views\login\AccountLogin.vue", "vue", 0, 3, 0, 0, 3
"d:\2024202501\Introduction\NewWebApp\src\views\login\EmailLogin.vue", "vue", 0, 1, 0, 0, 1
"d:\2024202501\Introduction\NewWebApp\src\views\main\Chat.vue", "vue", 0, 342, 2, 36, 380
"d:\2024202501\Introduction\NewWebApp\src\views\main\Friend.vue", "vue", 0, 114, 1, 17, 132
"d:\2024202501\Introduction\NewWebApp\src\views\main\Main.vue", "vue", 0, 21, 0, 0, 21
"d:\2024202501\Introduction\NewWebApp\src\views\main\Record.vue", "vue", 0, 50, 2, 4, 56
"d:\2024202501\Introduction\NewWebApp\src\views\main\RecordDetail.vue", "vue", 0, 32, 0, 5, 37
"d:\2024202501\Introduction\NewWebApp\src\views\main\Schedule.vue", "vue", 0, 3, 0, 0, 3
"d:\2024202501\Introduction\NewWebApp\src\views\main\User.vue", "vue", 0, 41, 0, 0, 41
"d:\2024202501\Introduction\NewWebApp\src\views\meeting\Meeting.vue", "vue", 0, 363, 0, 23, 386
"d:\2024202501\Introduction\NewWebApp\src\views\test\test.vue", "vue", 0, 181, 1, 13, 195
"Total", "-", 131, 1596, 39, 186, 1952